YYYYDDD   IMG-GMT  SITE-GMT    TAU-ln     TAU-ln    TAU-lin    TAU-lin 
(julday)  (hhmmss)  (fra-dy)       ice        ice        ice        ice 
      -         -         -      mean       mean      sigma      sigma 
      -         -         -      20km       10km       20km       10km 
      -         -         -      (--)       (--)       (--)       (--) 
--------  --------  --------  --------   --------   --------   -------- 
2012284    210000  284.8804   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    213000  284.9001   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    220000  284.9210     0.1100   -99.0000     0.0000   -99.0000 
2012284    223000  284.9418     0.1200   -99.0000     0.0100   -99.0000 
2012284    230000  284.9627   -99.0000   -99.0000   -99.0000   -99.0000 
2012284    233000  284.9835   -99.0000   -99.0000   -99.0000   -99.0000 
2012285         0  285.0055   -99.0000   -99.0000   -99.0000   -99.0000 
2012285      3000  285.0252   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     10000  285.0460   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     13000  285.0669   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     20000  285.0877   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     23000  285.1086     0.0600   -99.0000   -99.0000   -99.0000 
2012285     30000  285.1305     0.0900     0.0900     0.0100     0.0100 
2012285     33000  285.1502     0.2700     0.2300     0.1900     0.0200 
2012285     40000  285.1711   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     43000  285.1919   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     50000  285.2127   -99.0000   -99.0000   -99.0000   -99.0000 
2012285     53000  285.2336   -99.0000   -99.0000   -99.0000   -99.0000 
2012293    220000  293.9196   -99.0000   -99.0000   -99.0000   -99.0000 
